,,,,,,,,,,,,
,,ターゲット,課題カテゴリ1,課題カテゴリ2,課題カテゴリ3,課題カテゴリ4,Drill,クリア基準(レベル3),クリア基準(レベル2),クリア基準(レベル1),備考,開発者コメント
,,80切り,パーオン率が低い,※ボギーオン率改善の課題は解決済み前提,※ボギーオン率改善の課題は解決済み前提,※ボギーオン率改善の課題は解決済み前提,※ボギーオン率改善の課題は解決済み前提,※ボギーオン率改善の課題は解決済み前提,※ボギーオン率改善の課題は解決済み前提,※ボギーオン率改善の課題は解決済み前提,,
,,80切り,パーオン率が低い,(par4なら)2ndの距離が150yd以上残る,ティーショットの飛距離が足りない,,,250yd以上 10球中10球飛んだ,230yd以上 10球中10球飛んだ,230yd以上 10球中5球飛んだ,,マキロイも言ってましたが、練習場では玉がどこに飛んで行こうが限界まで振る練習をしているそうです。振りちぎれ！
,,80切り,パーオン率が低い,チーピンが出る,インサイドアウトが強すぎる,,棒を使ってシャフトプレーンに切り替えるドリル,棒に当たらずフルショットを10球中10球,棒に当たらずフルショットを10球中7球,棒に当たらずフルショットを10球中5球,,トミーフリートウッドがよくやっているやつ。トミーもドローヒッターで、たまーにチーピンするミスは大会でも出てますよね。そのトミーがやっていたドリルなだけあって自分にも効果ありでした！
,,80切り,パーオン率が低い,チーピンが出る,インサイドアウトが強すぎる,,Pwでスライスを打つドリル,10球中10球スライスが打てた,10球中7球スライスが打てた,10球中5球スライスが打てた,,Pwでスライスを打つにはオープンスタンスにして、カットに入れる必要がある。かなり極端な動きになる。でもゴルフでは極端に動きを理解することも時に必要だと思う。ここから徐々にいつも通りのアドレスや振り方に戻していき、その過程でちょうどいい球が出る場所があるからそこを探す。
,,80切り,パーオン率が低い,シャンクが出る,,,わざとシャンクを打つドリル,10球中7球シャンクを打てた,10球中5球シャンクを打てた,10球中3球シャンクを打てた,,本当に嫌になりますよねシャンク。一度出たら何度でも出るし。でもそれは逆を言えばスイングの再現性があるってことでもある。ほんの少しのコツがわかれば一気に解決できるから、諦めないで。このわざとシャンクを打つドリルはサヒス選手もやっていたやつで、真似したら結構効果テキメンでした。打とうと思うと意外と打てない。逆に意識して打てるようになれば、どうすればシャンクが発生するのかがわかってきました。
,,80切り,パーオン率が低い,右プッシュが出る,右プッシュを前提にゴルフを組み立てることを考えていない,,右プッシュ前提でゴルフを組み立てよう,ティーショットのセットアップ等考えた。,ティーショットのセットアップ等考えた。,ティーショットのセットアップ等考えた。,,100ydも曲がる右プッシュなら直したほうがいいですが、ある程度の幅ならその右プッシュを前提にゴルフを組み立てる、ということを考えてみても良いかもしれません。
,,80切り,パーオン率が低い,右プッシュが出る,,,Drで、右足を引く、胸を右に向けながら、ハーフショットでドローを打つ練習,10球中10球成功,10球中7球成功,10球中5球成功,,まずはハーフショットで試してみよう。それでもダメならもっと小さいスイングで試してみましょう。とにかくドロー回転をかけるというこれまでと逆の動きを身につけると、ドロー回転をかけるスイングといつものスイングの違いがわかってくる。ドロー回転をかけるスイングから徐々にいつものスイングに近づけることで自分は改善しました。どうしても難しければレッスンやYoutube等参考にしてみるのも手です。
,,80切り,パーオン率が低い,マネジメント,クラブごとの縦距離（分布）がわかっていない,,練習モードで距離を確認しよう,実施したら終わり,実施したら終わり,実施したら終わり,練習モードに、ラウンドで何ydを何番で打ったか記録するモードを用意する,
,,80切り,パーオン率が低い,マネジメント,もち玉が決まっていない,,持ち玉を決めよう,決めたらクリア,決めたらクリア,決めたらクリア,自分は「X yd曲がるドロー/フェード」が持ち玉というのを入力させようかな,
,,80切り,パーオン率が低い,マネジメント,発生しうる結果ごとの確率と行ってはいけない場所の2つを考慮してグリーンに向かってのショットができていない,"グリーンに向かって打つクラブごとの発生する結果ごとの確率をショットの前に考える
かつ
ライの見極め、グリーン周りの状況把握、ガードバンカーの見極め
を踏まえてショットする","シチュエーションごとのクイズ

あるひとの球の分布とグリーンのシチュエーションからこの人はどのような番手でどのようなショットをするべきなのか",クイズ実施でクリア,クイズ実施でクリア,クイズ実施でクリア,,2種類のリスクテイカーがいる。１つはリスクが発生する確率をわかっていて、発生した場合の結果を受け入れる準備がある人。もう１つは、何も考えていない人。良いスコアを出すには前者になることが求められると思う。
