ターゲット,区分,実践場所,課題,達成基準,なぜ重要
100切り,TEE,練習場(打ちっぱなし),ティーショットで OB を打つ,持ち玉を1つ決め、Dr 10球で 持ち玉と逆方向 (OB方向) に大きく曲がるのが 0回,100切りで最大のスコア漏れ。1 OB = +2打
100切り,TEE,練習場(打ちっぱなし),ティーショットでチョロ (前に飛ばない),Dr 10球で 150yd 以上を 10/10,前進ゼロ=ホールが終わる
100切り,TEE,練習場(打ちっぱなし),ティーショットで大きく曲がる,Dr 10球で 持ち玉と同じ方向に曲がる球が 8/10 (=曲がる方向が安定),方向が読めれば狙いを変えられる
100切り,APPROACH,練習場(アプローチ) / 家(スポンジ),グリーン周りのアプローチでザックリ,"(練習場) 30yd ピッチ 10球で 最低限グリーン上に乗る が 8/10 ／ (家スポンジ) 3m 先のバケツ (直径30cm) 狙いで SW 10球中 8球がバケツ手前 ±50cm に止まる",ザックリで +1〜2打。100切りの天敵。家でもコンタクト改善は可能
100切り,APPROACH,練習場(アプローチ) / 家(スポンジ),アプローチでトップ (グリーン奥にホームラン),"(練習場) 30yd ピッチ 10球で グリーンオーバー 0回 ／ (家スポンジ) 3m 先のバケツ越え (トップして奥に飛ぶ) が 10球中 0回",トップで奥に行くとさらに難しく。家でもチェック可
100切り,IRON,練習場(打ちっぱなし) / 家(スポンジ),フルショットでダフリ/トップ,"(練習場) 7I 10球で 最低限まともに当たる (120yd 以上飛ぶ) が 8/10 ／ (家スポンジ) swing space があれば 7I で 5m 先のターゲットに 10球中 8球前方クリーンに飛ぶ",セカンドが進まないとボギーオン不可。コンタクトは家でも改善可
100切り,IRON,練習場(打ちっぱなし),ボギーオン用の中距離 (140yd前後) が打てない,8I 10球で 130-150yd の範囲に 7/10 (キャリーで判定),この距離が安定するとボギーオン率向上
100切り,BUNKER,練習場(バンカー練習場),バンカーから一発で出ない,ガードバンカーから 1打で脱出 (グリーン外でも可) が 10/8,出ない = +2〜3打確定
100切り,PUTT,家(パターマット),1m パットを外す,ゲートドリル (パターマット 1m) 5球連続成功,1m を外す = ボギーがダボに
100切り,PUTT,練習場(パッティンググリーン),3パットを打つ (距離感が無い),10m パット 10球で 2パット以内に収まる (=1球目が 1.5m 圏内) が 8/10,3パット 1回 = +1打
100切り,MGMT,練習場(打ちっぱなし) or シミュレーター,クラブごとの平均距離が分かっていない,全クラブの中央値距離をアプリに記録した (実測 10球の中央値),距離が分からない=番手選択ミス頻発
100切り,MGMT,家(机上),ホールの OB/ハザード位置を確認していない,ラウンド前にコースガイドで全ホールの OB/池/林の位置をチェックする習慣,確認するだけで OB 半減
100切り,MGMT,家(机上),大叩きしたホールの後、戦略を変えられない,「大叩きの次は Dr 禁止、5I ティーアップ」のような自分ルールを書き出した,100切り層は崩れたら止まらない
90切り,TEE,練習場(打ちっぱなし),ティーショットの方向性 (1R で OB 1個以下),Dr 10球で 持ち玉が ±25yd 以内 に 10/8,90切りラインでは OB 1個まで
90切り,TEE,練習場(打ちっぱなし) or シミュレーター,ティー飛距離が足りない (200yd 以下),Dr 10球で キャリー 200yd 以上 が 7/10,200yd 切るとパー4 2nd 残り過多
90切り,IRON,練習場(打ちっぱなし),150yd 前後がグリーン狙える精度,6I or 7I 10球で 前後 ±15yd 左右 ±20yd 範囲内 が 7/10,90切りの分水嶺
90切り,IRON,練習場(打ちっぱなし),100yd ショートアイアンが乗らない,PW 10球で 100yd ±10yd 以内 が 7/10,寄せワン狙う絶好の距離
90切り,APPROACH,練習場(アプローチ) / 家(スポンジ),30yd アプローチで 寄せワン圏外,"(練習場) 30yd ピッチ 10球で 3m 以内 が 6/10 ／ (家スポンジ) コンタクト精度の補助練習として 3m バケツに 10球中 4球入る (距離感は実距離が必要)",3m なら 30% は入る。家ではコンタクト訓練として有効
90切り,APPROACH,練習場(アプローチ練習場),ライ別 (ラフ/カラー/ベアグラウンド) の使い分けができない,3種のライから 30yd ピッチで 5m 以内 が それぞれ 10/6,芝が変わると番手選択も変わる
90切り,BUNKER,練習場(バンカー練習場),バンカーから出して 5m 圏内,ガードバンカー 10球で 5m 以内 が 6/10,1パット圏に近づける
90切り,PUTT,家(パターマット) or 練習場(パッティンググリーン),2m パットの成功率,2m パット 10球で 7/10 成功,パーセーブ・ボギー死守の境目
90切り,PUTT,練習場(パッティンググリーン),ロングパットの距離感 (タッチ),10m パット 10球で 1.5m 圏内に 9/10,3パットを 1R 1個以下に
90切り,MGMT,練習場(打ちっぱなし),持ち玉が決まっていない (フェード or ドロー),Dr 10球で 同じ持ち玉が 8/10 出る (結果として),持ち玉が決まらないと狙いが決まらない
90切り,MGMT,家(机上),ピンを狙うか中央を狙うか判断できない,「ピン位置別の狙い方ルール」を自分で作って書き出した,ピン奥につけて 3パットで崩れがち
90切り,MGMT,家(机上),2nd でリスクを取らない判断 (PAR5),「PAR5 の 2nd は 200yd 残しを目標」のような自分ルールを書き出した,2オン狙って大叩きが 90切り崩しの典型
80切り,TEE,練習場(打ちっぱなし),ティーショットの方向性 (FW キープ率 50%+),Dr 10球で 持ち玉が ±20yd 以内 に 10/10,FWキープが前提
80切り,TEE,練習場(打ちっぱなし) or シミュレーター,ティーショットの飛距離 (230yd+),Dr 10球で キャリー 230yd 以上 が 10/10,230yd 切るとセカンドが難しすぎる
80切り,IRON,練習場(打ちっぱなし),パーオン率を上げる中距離精度 (150-170yd),6I 10球で 前後 ±10yd 左右 ±15yd 範囲内 が 9/10,パーオン率 30%+ の精度
80切り,IRON,練習場(打ちっぱなし),長距離 (180yd+) のグリーン狙い,5I or 4U 10球で 30yd 範囲内 (左右±20yd) に 8/10,PAR5 で2オン狙う必須番手
80切り,IRON,練習場(打ちっぱなし),100yd 以内をピンに寄せる精度,100yd ショット 10球で 5m 以内 (ピン狙いの範囲) に 8/10,バーディを取りに行く距離
80切り,APPROACH,練習場(アプローチ) / 家(スポンジ),寄せワン精度 (パーセーブ強化),"(練習場) 30yd ピッチ 10球で 2m 以内 が 5/10、5m 以内 が 8/10 ／ (家スポンジ) コンタクト精度の維持: 3m バケツで 10球中 6球入る",寄せワン率 30%+ 必要。家でコンタクトを錆びさせない
80切り,BUNKER,練習場(バンカー練習場),ガードバンカーから 1パット圏,ガードバンカー 10球で 3m 以内 が 7/10,サンドセーブ率を上げる
80切り,PUTT,練習場(パッティンググリーン),3m パット成功率 (バーディ獲得),3m パット 10球で 6/10 成功,バーディチャンスを物にする
80切り,PUTT,練習場(パッティンググリーン),ロングパットの精度 (15m から 2パット),15m パット 10球で カップ 1.5m 以内 に 9/10,3パット撲滅が必須
80切り,PUTT,練習場(パッティンググリーン),傾斜の読み (スライス/フック),傾斜のあるグリーンで自分の読みカップ位置を予測して打ち、誤差が ±1カップ以内 が 7/10,読みの精度が必須
80切り,MGMT,家(机上),攻めるか守るかのリスクリワード判断,「ピンが奥右、池が手前左」のような複合状況10種で 自分の狙い と理由を書き出した,取るか引くかの精度が問われる
80切り,MGMT,家(机上),球の分布を考慮した狙い (持ち玉の散らばり),自分の持ち玉の左右散らばりの幅を把握し、狙いを「散らばり中央」に置く設計を書き出した,プロは球の散らばり中央を狙う
80切り,MENTAL,コース,上がり3ホールで崩れる,直近5ラウンドの 16-18番のスコア合計 と 1-15番のホール平均×3 の差が +2 以内,あと一歩で崩れるパターン撲滅
80切り,MENTAL,コース,ダボ叩いた後にまたダボ,直近5ラウンドで「ダボ後の次ホールがダボ+」の確率が 20% 以下,連続ダボでスコア崩壊を防ぐ
